Sno,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,Datetime,Cumulative_Confirmed
1,Kerala,1.0,0.0,0,0,1.0,2020-01-30 18:00:00,1.0
2,Kerala,1.0,0.0,0,0,1.0,2020-01-31 18:00:00,2.0
3,Kerala,2.0,0.0,0,0,2.0,2020-02-01 18:00:00,4.0
4,Kerala,3.0,0.0,0,0,3.0,2020-02-02 18:00:00,7.0
5,Kerala,3.0,0.0,0,0,3.0,2020-02-03 18:00:00,10.0
6,Kerala,3.0,0.0,0,0,3.0,2020-02-04 18:00:00,13.0
7,Kerala,3.0,0.0,0,0,3.0,2020-02-05 18:00:00,16.0
8,Kerala,3.0,0.0,0,0,3.0,2020-02-06 18:00:00,19.0
9,Kerala,3.0,0.0,0,0,3.0,2020-02-07 18:00:00,22.0
10,Kerala,3.0,0.0,0,0,3.0,2020-02-08 18:00:00,25.0
11,Kerala,3.0,0.0,0,0,3.0,2020-02-09 18:00:00,28.0
12,Kerala,3.0,0.0,0,0,3.0,2020-02-10 18:00:00,31.0
13,Kerala,3.0,0.0,0,0,3.0,2020-02-11 18:00:00,34.0
14,Kerala,3.0,0.0,0,0,3.0,2020-02-12 18:00:00,37.0
15,Kerala,3.0,0.0,0,0,3.0,2020-02-13 18:00:00,40.0
16,Kerala,3.0,0.0,0,0,3.0,2020-02-14 18:00:00,43.0
17,Kerala,3.0,0.0,0,0,3.0,2020-02-15 18:00:00,46.0
18,Kerala,3.0,0.0,0,0,3.0,2020-02-16 18:00:00,49.0
19,Kerala,3.0,0.0,0,0,3.0,2020-02-17 18:00:00,52.0
20,Kerala,3.0,0.0,0,0,3.0,2020-02-18 18:00:00,55.0
21,Kerala,3.0,0.0,0,0,3.0,2020-02-19 18:00:00,58.0
22,Kerala,3.0,0.0,0,0,3.0,2020-02-20 18:00:00,61.0
23,Kerala,3.0,0.0,0,0,3.0,2020-02-21 18:00:00,64.0
24,Kerala,3.0,0.0,0,0,3.0,2020-02-22 18:00:00,67.0
25,Kerala,3.0,0.0,0,0,3.0,2020-02-23 18:00:00,70.0
26,Kerala,3.0,0.0,0,0,3.0,2020-02-24 18:00:00,73.0
27,Kerala,3.0,0.0,0,0,3.0,2020-02-25 18:00:00,76.0
28,Kerala,3.0,0.0,0,0,3.0,2020-02-26 18:00:00,79.0
29,Kerala,3.0,0.0,0,0,3.0,2020-02-27 18:00:00,82.0
30,Kerala,3.0,0.0,0,0,3.0,2020-02-28 18:00:00,85.0
31,Kerala,3.0,0.0,0,0,3.0,2020-02-29 18:00:00,88.0
32,Kerala,3.0,0.0,0,0,3.0,2020-03-01 18:00:00,91.0
33,Telengana,1.0,0.0,0,0,1.0,2020-03-02 18:00:00,1.0
34,Kerala,3.0,0.0,0,0,3.0,2020-03-02 18:00:00,94.0
35,Delhi,1.0,0.0,0,0,1.0,2020-03-02 18:00:00,1.0
36,Telengana,1.0,0.0,0,0,1.0,2020-03-03 18:00:00,2.0
37,Rajasthan,0.0,1.0,0,0,1.0,2020-03-03 18:00:00,1.0
38,Kerala,3.0,0.0,3,0,3.0,2020-03-03 18:00:00,97.0
39,Delhi,1.0,0.0,0,0,1.0,2020-03-03 18:00:00,2.0
40,Uttar Pradesh,6.0,0.0,0,0,6.0,2020-03-04 18:00:00,6.0
41,Kerala,3.0,0.0,3,0,3.0,2020-03-04 18:00:00,100.0
42,Haryana,0.0,2.0,0,0,2.0,2020-03-04 18:00:00,2.0
43,Delhi,1.0,0.0,0,0,1.0,2020-03-04 18:00:00,3.0
44,Telengana,1.0,0.0,0,0,1.0,2020-03-04 18:00:00,3.0
45,Rajasthan,1.0,14.0,0,0,15.0,2020-03-04 18:00:00,16.0
46,Delhi,2.0,0.0,0,0,2.0,2020-03-05 18:00:00,5.0
47,Haryana,0.0,2.0,0,0,2.0,2020-03-05 18:00:00,4.0
48,Kerala,3.0,0.0,3,0,3.0,2020-03-05 18:00:00,103.0
49,Rajasthan,1.0,14.0,0,0,15.0,2020-03-05 18:00:00,31.0
50,Telengana,1.0,0.0,0,0,1.0,2020-03-05 18:00:00,4.0
51,Uttar Pradesh,7.0,0.0,0,0,7.0,2020-03-05 18:00:00,13.0
52,Delhi,3.0,0.0,0,0,3.0,2020-03-06 18:00:00,8.0
53,Haryana,0.0,2.0,0,0,2.0,2020-03-06 18:00:00,6.0
54,Kerala,3.0,0.0,3,0,3.0,2020-03-06 18:00:00,106.0
55,Rajasthan,1.0,14.0,0,0,15.0,2020-03-06 18:00:00,46.0
56,Uttar Pradesh,7.0,0.0,0,0,7.0,2020-03-06 18:00:00,20.0
57,Telengana,1.0,0.0,0,0,1.0,2020-03-06 18:00:00,5.0
